batch_code,email_agent,email,email_status,email_reason,asset1,asset2,ip_address,email_time_tool,system_reason
,,,,,,,,,Batch ID is required
,,,,,,,,,Batch ID is required
,,,,,,,,,Batch ID is required
,,,,,,,,,Batch ID is required
,,,,,,,,,Batch ID is required
,,,,,,,,,Batch ID is required
,,,,,,,,,Batch ID is required
